ID,title,reprLat,reprLong,reprType,geonamesType,provisional
559,Preli,56.29444,26.72459,GeoNames,PPL,0
759,Cherenchitskoi,,,,PPL,0
555,Pochinki,,,,PPL,0
234,Zvenigorod,55.73402,36.85918,GeoNames,PPL,0
581,Rozhestvenskoe,53.668498,36.975171,GeoNames,PPL,0
625,Serega,62.32714,50.69246,GeoNames,PPL,0
500,Orlov,,,,PPL,0
993,Krasnokutskii uezd,50.06602,35.16275,seat,ADM2,0
343,Krasnokutsk,50.06602,35.16275,GeoNames,PPL,0
911,Zubtsovskii uezd,56.17534,34.58935,seat,ADM2,0
684,Tereshkovo,,,,PPL,0
644,Sol'tso,,,,PPL,0
965,Bogodukhovskii uezd,50.16466,35.52765,seat,ADM2,0
53,Bogodukhov,50.16466,35.52765,GeoNames,PPL,0
941,Petrovskii uezd,57.01039,39.26928,seat,ADM2,0
526,Petrovsk,57.01039,39.26928,GeoNames,PPL,0
871,Pskovskii uezd,57.816667,28.333333,seat,ADM2,0
200,Dubkov,,,,PPL,0
977,Goltvianskii uezd,49.4202,33.85422,seat,ADM2,0
160,Goltva,49.4202,33.85422,GeoNames,PPL,0
138,Vetka,,,,PPL,0
605,Saratov,51.533333,46.0,GeoNames,PPL,0
328,Korsun',54.19941,46.9827,GeoNames,PPL,0
182,Daimino,,,,PPL,0
191,Dmitrov,56.34485,37.52041,GeoNames,PPL,0
436,Mikhailovskoi,,,,PPL,0
190,Dinaburg,55.88333,26.53333,GeoNames,PPL,0
608,Svatova Luchka,49.351971,38.063939,GeoNames,PPL,0
914,Kashinskii uezd,57.35917,37.60806,seat,ADM2,0
288,Kimry,56.86667,37.35,GeoNames,PPL,0
454,Murikovo,55.99461,35.37,GeoNames,PPL,0
1114,Berezinskii uezd,51.5716,31.78456,seat,ADM2,0
38,Berezin,51.5716,31.78456,GeoNames,PPL,0
779,Sheshkeev,54.19005,44.75599,GeoNames,PPL,0
193,Dmitrovskaia,,,,PPL,0
223,Eske,,,,PPL,0
120,Volch'ia,,,,PPL,0
1058,Sol'vychegodskii uezd,61.33046,46.91559,seat,ADM2,0
642,Sol'-Vychegodsk,61.33046,46.91559,GeoNames,PPL,0
967,Borisoglebskii uezd,51.36713,42.08494,seat,ADM2,0
64,Borisoglebsk,57.866991,39.525119,GeoNames,PPL,0
362,Kumzerskaia,60.1367,39.6615,GeoNames,PPL,0
85,Beliki,,,,PPL,0
261,Isa,48.6,48.3,GeoNames,PPL,0
610,Svinskoi,,,,PPL,0
1003,Vytegorskii uezd,61.00636,36.44811,seat,ADM2,0
133,Vytegra,61.00636,36.44811,GeoNames,PPL,0
866,Olonetskii uezd,61.783333,34.35,seat,ADM2,0
611,Svirskoi Aleksandrovskoi,,,,PPL,0
10,Aleksandrovskoe,53.40241,43.10415,GeoNames,PPL,0
715,Unkosova,54.24896,41.55542,GeoNames,PPL,0
971,Velizhskii uezd,55.60564,31.19673,seat,ADM2,0
101,Velizh,55.60564,31.19673,GeoNames,PPL,0
1049,Putivl'skii uezd,51.33745,33.87066,seat,ADM2,0
567,Putivl',51.33745,33.87066,GeoNames,PPL,0
1116,Vyshnevolotskii uezd,57.59125,34.56453,seat,ADM2,0
137,Vyshnii Volochok,57.59125,34.56453,GeoNames,PPL,0
516,Penza,53.20066,45.00464,GeoNames,PPL,0
126,Vorontsovka,52.45956,41.41571,GeoNames,PPL,0
514,Pafnut'ev,,,,PPL,0
359,Kubenskoe,59.43387,39.66913,GeoNames,PPL,0
131,Vysokoe,,,,PPL,0
492,Olyshanaia,,,,PPL,0
954,Starodubovskii uezd,52.2405,33.67942,seat,ADM2,0
659,Starodub,52.58444,32.76333,GeoNames,PPL,0
943,Polotavskii uezd,49.59373,34.54073,seat,ADM2,0
550,Poltava,49.59373,34.54073,GeoNames,PPL,0
383,Liptsy,,,,PPL,0
607,Sasovo,,,,PPL,0
846,St Peterburgskaia Guberniia,59.93863,30.31413,seat,ADM1,0
461,Narva,59.37722,28.19028,GeoNames,PPL,0
923,Karochenskii uezd,50.8132,37.18598,seat,ADM2,0
278,Karocha,50.8132,37.18598,GeoNames,PPL,0
103,Venden,57.31188,25.27456,GeoNames,PPL,0
860,Kostromskii uezd,57.766667,40.933333,seat,ADM2,0
340,Krasnoe,,,,PPL,0
149,Gennadiev,,,,PPL,0
574,Ratsburg,,,,PPL,0
549,Polotsk,55.4879,28.7856,GeoNames,PPL,0
1016,Opochetskii uezd,56.71048,28.66174,seat,ADM2,0
613,Sviatogorskoi,56.96487,28.892161,GeoNames,PPL,0
428,Mirgorod,49.96854,33.60886,GeoNames,PPL,0
1133,Starooskol'skii uezd,51.29667,37.84167,seat,ADM2,0
661,Staroi Oskol,51.29667,37.84167,GeoNames,PPL,0
940,Pereiaslavskii uezd,50.08768,31.4795,seat,ADM2,0
67,Borispol',50.35269,30.95501,GeoNames,PPL,0
892,Belevskii uezd,53.81194,36.13194,seat,ADM2,0
174,Gremiachev,54.13149,38.6607,GeoNames,PPL,0
312,Kozlovka,,,,PPL,0
778,Shatsk,54.02576,41.71191,GeoNames,PPL,0
52,Bogachka,,,,PPL,0
162,Gomlia,,,,PPL,0
395,Levye Lamki,,,,PPL,0
706,Turetskaia,,,,PPL,0
918,Kirenskii uezd,57.78528,108.11194,seat,ADM2,0
290,Kirensk,57.78528,108.11194,GeoNames,PPL,0
1117,Gabzal'skii uezd,58.94306,23.54139,seat,ADM2,0
831,Revel'skoe Namestnichestvo,59.437222,24.745278,seat,ADM1,0
142,Gabzal',58.94306,23.54139,GeoNames,PPL,0
601,Samara,53.20007,50.15,GeoNames,PPL,0
616,Sednev,51.64472,31.56496,GeoNames,PPL,0
15,Anaevo,54.2354,42.5668,GeoNames,PPL,0
1082,Pavlogradskii uezd,48.53426,35.87098,seat,ADM2,0
511,Pavlograd,48.53426,35.87098,GeoNames,PPL,0
326,Korop,51.56638,32.95861,GeoNames,PPL,0
